,time,prices,
0,01/01/2016 00:00,30.86,
1,01/01/2016 00:30,32.71,
2,01/01/2016 01:00,35.56,
3,01/01/2016 01:30,36.08,
4,01/01/2016 02:00,36.22,
5,01/01/2016 02:30,35.46,
6,01/01/2016 03:00,33.04,
7,01/01/2016 03:30,33.26,
8,01/01/2016 04:00,32.45,
9,01/01/2016 04:30,34.83,
10,01/01/2016 05:00,33.08,
11,01/01/2016 05:30,37.57,
12,01/01/2016 06:00,34.02,
13,01/01/2016 06:30,33.1,
14,01/01/2016 07:00,31.11,
15,01/01/2016 07:30,30.67,
16,01/01/2016 08:00,25.15,
17,01/01/2016 08:30,25.64,
18,01/01/2016 09:00,27.55,
19,01/01/2016 09:30,27.57,
20,01/01/2016 10:00,28.46,
21,01/01/2016 10:30,29.14,
22,01/01/2016 11:00,35.85,
23,01/01/2016 11:30,35.71,
24,01/01/2016 12:00,38.75,
25,01/01/2016 12:30,38.84,
26,01/01/2016 13:00,39.74,
27,01/01/2016 13:30,39.82,
28,01/01/2016 14:00,38.74,
29,01/01/2016 14:30,38.6,
30,01/01/2016 15:00,43.8,
31,01/01/2016 15:30,43.19,
32,01/01/2016 16:00,44.32,
33,01/01/2016 16:30,46.34,
34,01/01/2016 17:00,50.3,
35,01/01/2016 17:30,44.95,
36,01/01/2016 18:00,41.7,
37,01/01/2016 18:30,40.18,
38,01/01/2016 19:00,32.37,
39,01/01/2016 19:30,31.25,
40,01/01/2016 20:00,30.86,
41,01/01/2016 20:30,30.92,
42,01/01/2016 21:00,31.61,
43,01/01/2016 21:30,30.69,
44,01/01/2016 22:00,30.51,
45,01/01/2016 22:30,30.1,
46,01/01/2016 23:00,29.84,
47,01/01/2016 23:30,28.68,
48,02/01/2016 00:00,28.9,
49,02/01/2016 00:30,28.89,
50,02/01/2016 01:00,28.03,
51,02/01/2016 01:30,21.96,
52,02/01/2016 02:00,21.51,
53,02/01/2016 02:30,21.73,
54,02/01/2016 03:00,20.27,
55,02/01/2016 03:30,17.91,
56,02/01/2016 04:00,17.26,
57,02/01/2016 04:30,16.88,
58,02/01/2016 05:00,21.9,
59,02/01/2016 05:30,21.5,
60,02/01/2016 06:00,20.55,
61,02/01/2016 06:30,22.56,
62,02/01/2016 07:00,28.23,
63,02/01/2016 07:30,28.72,
64,02/01/2016 08:00,30.15,
65,02/01/2016 08:30,34.96,
66,02/01/2016 09:00,35.01,
67,02/01/2016 09:30,33.89,
68,02/01/2016 10:00,34.17,
69,02/01/2016 10:30,34.25,
70,02/01/2016 11:00,35.84,
71,02/01/2016 11:30,34.47,
72,02/01/2016 12:00,35.42,
73,02/01/2016 12:30,34.62,
74,02/01/2016 13:00,33.72,
75,02/01/2016 13:30,33.36,
76,02/01/2016 14:00,33.03,
77,02/01/2016 14:30,33.02,
78,02/01/2016 15:00,39.36,
79,02/01/2016 15:30,40.32,
80,02/01/2016 16:00,41.75,
81,02/01/2016 16:30,52.21,
82,02/01/2016 17:00,56.79,
83,02/01/2016 17:30,65.62,
84,02/01/2016 18:00,53.97,
85,02/01/2016 18:30,54.11,
86,02/01/2016 19:00,44.69,
87,02/01/2016 19:30,39.39,
88,02/01/2016 20:00,38.16,
89,02/01/2016 20:30,36.62,
90,02/01/2016 21:00,33.55,
91,02/01/2016 21:30,33.04,
92,02/01/2016 22:00,32.9,
93,02/01/2016 22:30,32.62,
94,02/01/2016 23:00,39.3,
95,02/01/2016 23:30,39.15,
96,03/01/2016 00:00,39.17,
97,03/01/2016 00:30,38.74,
98,03/01/2016 01:00,39.01,
99,03/01/2016 01:30,37.33,
100,03/01/2016 02:00,35.97,
101,03/01/2016 02:30,33.04,
102,03/01/2016 03:00,25.04,
103,03/01/2016 03:30,22.11,
104,03/01/2016 04:00,20.02,
105,03/01/2016 04:30,19.43,
106,03/01/2016 05:00,19.81,
107,03/01/2016 05:30,20.07,
108,03/01/2016 06:00,20.18,
109,03/01/2016 06:30,20.88,
110,03/01/2016 07:00,24.52,
