,max_price,min_price,daily_price_spread,simple_daily_profit,optimised_daily_profit
2016-01-01,47.625,25.395,22.23,1889.55,3104.592468546637
2016-01-02,61.205,17.07,44.135,3751.475,3819.0217310195217
2016-01-03,51.57,19.725,31.845,2706.825,2627.4434056399127
2016-01-04,44.614999999999995,26.53,18.084999999999994,1537.2249999999995,-1990.0932754880691
2016-01-05,51.400000000000006,29.58,21.820000000000007,1854.7000000000007,4244.261910455908
2016-01-06,52.25,31.505,20.745,1763.325,1745.0559999999991
2016-01-07,50.785,16.835,33.949999999999996,2885.7499999999995,56.10670715835067
2016-01-08,53.495,29.975,23.519999999999996,1999.1999999999996,5863.617804772234
2016-01-09,62.555,29.86,32.695,2779.075,2636.299969631236
2016-01-10,54.105000000000004,22.46,31.645000000000003,2689.8250000000003,1175.7923167028198
2016-01-11,47.35,29.52,17.830000000000002,1515.5500000000002,2713.1918004338395
2016-01-12,48.325,15.845,32.480000000000004,2760.8,1171.5057830802598
2016-01-13,0.0,0.0,0.0,0.0,3624.228
2016-01-14,0.0,0.0,0.0,0.0,59.19932754880733
2016-01-15,48.269999999999996,26.11,22.159999999999997,1883.5999999999995,2949.5120477223427
2016-01-16,0.0,0.0,0.0,0.0,5109.216108459868
2016-01-17,0.0,0.0,0.0,0.0,2645.120404342733
2016-01-18,94.975,21.655,73.32,6232.199999999999,5122.303652928416
2016-01-19,121.6,26.78,94.82,8059.7,10348.215886458278
2016-01-20,70.38,28.23,42.14999999999999,3582.749999999999,3451.779084598698
2016-01-21,58.01,27.685,30.325,2577.625,2395.569019522776
2016-01-22,43.8,26.04,17.759999999999998,1509.5999999999997,-614.5715835141
2016-01-23,51.09,27.355,23.735000000000003,2017.4750000000004,3107.4578499818836
2016-01-24,56.379999999999995,26.015,30.364999999999995,2581.0249999999996,2364.963822125813
2016-01-25,40.28,14.195,26.085,2217.225,2172.3265813449025
2016-01-26,42.475,10.73,31.745,2698.325,2748.039483731019
2016-01-27,46.585,22.545,24.04,2043.3999999999999,1897.0587375271148
2016-01-28,48.82,17.15,31.67,2691.95,2666.031323210412
2016-01-29,49.715,14.129999999999999,35.58500000000001,3024.725000000001,3038.8695878524945
2016-01-30,52.3,21.189999999999998,31.11,2644.35,3581.7815192017356
2016-01-31,60.230000000000004,27.560000000000002,32.67,2776.95,2581.857388286333
2016-02-01,51.935,20.025,31.910000000000004,2712.3500000000004,2638.0115227765723
2016-02-02,47.875,22.46,25.415,2160.275,2055.329722342733
2016-02-03,54.17,12.42,41.75,3548.75,3821.171422993492
2016-02-04,56.974999999999994,24.295,32.67999999999999,2777.7999999999993,3069.516082429501
2016-02-05,50.394999999999996,8.620000000000001,41.77499999999999,3550.874999999999,3918.3953362255966
